shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
11766,True,,False,0.0001999999999999988,2230,671405.875,0.0015999999999999903,True,0
11798,True,,False,0.0001999999999999988,2418,673342.6875,0.001999999999999988,True,3
11823,True,,False,0.00019999999999999185,2557,716543.3125,0.0009999999999999593,True,1
11851,True,,False,0.0001999999999999988,2233,1070638.75,0.0023999999999999855,True,1
11889,True,,False,0.00019999999999999185,2809,564055.875,0.03659999999999851,False,0
11914,True,,False,0.00019999999999999185,2736,786529.1875,0.05819999999999763,False,7
11936,True,,False,0.00019999999999999185,2977,573212.6875,0.07299999999999703,False,0
11957,True,,False,0.0001999999999999988,2513,932905.125,0.0025999999999999843,True,0
12023,True,,False,0.00019999999999997797,3333,588646.8125,0.05099999999999438,False,5
12058,True,,False,0.00020000000000000573,2039,459271.5,0.06080000000000174,False,2
12094,True,,False,0.00020000000000000573,1952,842499.1875,0.0026000000000000745,True,4
12121,True,,False,0.0001999999999999988,2423,830022.75,0.001999999999999988,True,0
12151,True,,False,0.0001999999999999988,2208,1147860.75,0.0035999999999999782,True,7
12177,True,,False,0.0001999999999999988,2484,1045965.9375,0.000999999999999994,True,2
12201,True,,False,0.00019999999999999185,2806,700826.6875,0.008399999999999658,True,1
12231,True,,False,0.00020000000000000573,1489,791224.875,0.0010000000000000286,True,2
12256,True,,False,0.00019999999999999185,2916,634652.6875,0.056599999999997694,False,4
12283,True,,False,0.00020000000000000573,1647,1149664.875,0.0016000000000000458,True,2
12315,True,,False,0.00019999999999999185,2859,539370.6875,0.029999999999998778,False,3
12357,True,,False,0.0001999999999999988,2505,1096104.75,0.0025999999999999843,True,0
12384,True,,False,0.0001999999999999988,2469,1080861.125,0.002799999999999983,True,0
12410,True,,False,0.00019999999999999185,2862,1140286.0,0.0033999999999998615,True,0
12435,True,,False,0.00019999999999999185,2930,786961.375,0.0017999999999999267,True,1
12460,True,,False,0.00020000000000000573,2054,1162760.625,0.00140000000000004,True,0
12481,True,,False,0.00019999999999999185,2885,846876.6875,0.001399999999999943,True,1
