shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
11777,True,,False,0.00019999999999999185,2549,709129.0,0.0019999999999999185,True,1
11811,True,,False,0.00019999999999999185,2804,576765.0625,0.034199999999998607,False,8
11835,True,,False,0.00019999999999999185,2615,766532.3125,0.0031999999999998696,True,3
11868,True,,False,0.00019999999999999185,2820,555400.375,0.034999999999998574,False,2
11899,True,,False,0.00020000000000000573,1708,782523.0,0.002200000000000063,True,3
11924,True,,False,0.0001999999999999988,2462,785405.875,0.05579999999999966,False,3
11946,True,,False,0.00019999999999999185,2933,703250.1875,0.002599999999999894,True,2
12008,True,,False,0.0001999999999999988,2268,1037703.5,0.001999999999999988,True,3
12034,True,,False,0.00019999999999997797,3230,564035.125,0.056799999999993744,False,3
12082,True,,False,0.00020000000000000573,1420,797625.9375,0.0010000000000000286,True,7
12110,True,,False,0.00019999999999999185,2714,960278.625,0.002799999999999886,True,1
12140,True,,False,0.00019999999999999185,2916,765031.125,0.023399999999999047,False,2
12166,True,,False,0.0001999999999999988,2443,1108991.75,0.000999999999999994,True,3
12190,True,,False,0.00019999999999999185,2840,767626.4375,0.013199999999999462,True,2
12216,True,,False,0.00019999999999997797,3261,631821.5625,0.03919999999999568,False,5
12244,True,,False,0.00019999999999999185,2797,1115809.25,0.002799999999999886,True,6
12267,True,,False,0.00019999999999999185,2859,630643.5,0.07019999999999714,False,7
12302,True,,False,0.00019999999999999185,2792,851140.75,0.0019999999999999185,True,6
12326,True,,False,0.00019999999999999185,2864,537811.1875,0.029799999999998786,False,4
12368,True,,False,0.0001999999999999988,2389,1080108.125,0.002799999999999983,True,1
12398,True,,False,0.00019999999999999185,2902,821707.25,0.0021999999999999104,True,2
12422,True,,False,0.0001999999999999988,2494,1119663.25,0.0033999999999999794,True,4
12446,True,,False,0.0001999999999999988,2284,1079930.375,0.0025999999999999843,True,7
12471,True,,False,0.00020000000000000573,1904,858865.5625,0.002200000000000063,True,1
12494,True,,False,0.0001999999999999988,2543,1078511.75,0.0031999999999999806,True,8
12519,True,,False,0.00019999999999999185,2622,1139350.0,0.0031999999999998696,True,0
12545,True,,False,0.00019999999999999185,3053,743441.375,0.04999999999999796,False,3
12605,True,,False,0.00019999999999999185,3032,763063.8125,0.049199999999997995,False,4
12628,True,,False,0.00020000000000000573,2089,1096250.25,0.0016000000000000458,True,3
12668,True,,False,0.00020000000000000573,1491,704456.8125,0.0018000000000000516,True,0
12689,True,,False,0.00019999999999999185,2911,825661.8125,0.0933999999999962,False,4
12714,True,,False,0.00019999999999999185,2736,967282.0,0.0009999999999999593,True,2
12734,True,,False,0.00019999999999997797,3523,565107.25,0.0005999999999999339,True,4
12761,True,,False,0.00019999999999999185,2740,772703.5,0.02259999999999908,False,1
12785,True,,False,0.00019999999999999185,2664,976649.75,0.0009999999999999593,True,4
12809,True,,False,0.00019999999999999185,3014,1129231.125,0.002399999999999902,True,6
12831,True,,False,0.00019999999999999185,2752,755233.0625,0.0785999999999968,False,1
12857,True,,False,0.00019999999999999185,2867,833863.4375,0.0021999999999999104,True,4
12878,True,,False,0.00019999999999999185,3032,1101593.625,0.0021999999999999104,True,4
12904,True,,False,0.00019999999999999185,2961,707214.5,0.053599999999997816,False,5
12926,True,,False,0.00019999999999999185,3142,1160581.25,0.0017999999999999267,True,2
12955,True,,False,0.0001999999999999988,2260,1021764.25,0.002799999999999983,True,2
12977,True,,False,0.0001999999999999988,2316,1135855.5,0.001999999999999988,True,0
13003,True,,False,0.00019999999999999185,2980,1099068.75,0.002799999999999886,True,7
13028,True,,False,0.00019999999999997797,3250,751605.125,0.02379999999999738,False,4
13050,True,,False,0.00020000000000000573,1935,965738.6875,0.0010000000000000286,True,1
13073,True,,False,0.00019999999999999185,2643,909068.5,0.0017999999999999267,True,0
13097,True,,False,0.0001999999999999988,2409,1099985.625,0.002999999999999982,True,2
13122,True,,False,0.00019999999999999185,2797,1117112.375,0.0035999999999998533,True,2
13198,True,,False,0.00020000000000000573,1704,329220.65625,0.09800000000000281,False,2
13235,True,,False,0.0001999999999999988,2213,977545.5625,0.002799999999999983,True,3
