time,signal
0.000000,0.014901
0.001000,0.021268
0.002000,0.070077
0.003000,0.121198
0.004000,0.092795
0.005000,0.116386
0.006000,0.193490
0.007000,0.190798
0.008000,0.174166
0.009000,0.223686
0.010000,0.211234
0.011000,0.227360
0.012000,0.263173
0.013000,0.211418
0.014000,0.228247
0.015000,0.272553
0.016000,0.266705
0.017000,0.312440
0.018000,0.279979
0.019000,0.267394
0.020000,0.354681
0.021000,0.303377
0.022000,0.310209
0.023000,0.262186
0.024000,0.284186
0.025000,0.298422
0.026000,0.254284
0.027000,0.293112
0.028000,0.256326
0.029000,0.257753
0.030000,0.240444
0.031000,0.306066
0.032000,0.242287
0.033000,0.203520
0.034000,0.253023
0.035000,0.185516
0.036000,0.223053
0.037000,0.153638
0.038000,0.169349
0.039000,0.213107
0.040000,0.228703
0.041000,0.212464
0.042000,0.206119
0.043000,0.204361
0.044000,0.174413
0.045000,0.204126
0.046000,0.220424
0.047000,0.276018
0.048000,0.266167
0.049000,0.215945
0.050000,0.292878
0.051000,0.287162
0.052000,0.295089
0.053000,0.351419
0.054000,0.382518
0.055000,0.398737
0.056000,0.365359
0.057000,0.401349
0.058000,0.440828
0.059000,0.480414
0.060000,0.456838
0.061000,0.485334
0.062000,0.476849
0.063000,0.492555
0.064000,0.570316
0.065000,0.603064
0.066000,0.575437
0.067000,0.621570
0.068000,0.614699
0.069000,0.595293
0.070000,0.634600
0.071000,0.677249
0.072000,0.635562
0.073000,0.687245
0.074000,0.563500
0.075000,0.666654
0.076000,0.642649
0.077000,0.627282
0.078000,0.633449
0.079000,0.563818
0.080000,0.608000
0.081000,0.614955
0.082000,0.636858
0.083000,0.564019
0.084000,0.541273
0.085000,0.535511
0.086000,0.562305
0.087000,0.528403
0.088000,0.485944
0.089000,0.500310
0.090000,0.470862
0.091000,0.480192
0.092000,0.413575
0.093000,0.408805
0.094000,0.391528
0.095000,0.344856
0.096000,0.384073
0.097000,0.370536
0.098000,0.351579
0.099000,0.334415
0.100000,0.290409
0.101000,0.313125
0.102000,0.309843
0.103000,0.291970
0.104000,0.308658
0.105000,0.324611
0.106000,0.369574
0.107000,0.320182
0.108000,0.326018
0.109000,0.320713
0.110000,0.271245
0.111000,0.334965
0.112000,0.345480
0.113000,0.426301
0.114000,0.356026
0.115000,0.380738
0.116000,0.380875
0.117000,0.357235
0.118000,0.436933
0.119000,0.435355
0.120000,0.446291
0.121000,0.404479
0.122000,0.482312
0.123000,0.405740
0.124000,0.471914
0.125000,0.525333
0.126000,0.433880
0.127000,0.449129
0.128000,0.470072
0.129000,0.451295
0.130000,0.417480
0.131000,0.461887
0.132000,0.421989
0.133000,0.460278
0.134000,0.408888
0.135000,0.471584
0.136000,0.388461
0.137000,0.387491
0.138000,0.405155
0.139000,0.325921
0.140000,0.350383
0.141000,0.362229
0.142000,0.253133
0.143000,0.284280
0.144000,0.263126
0.145000,0.254750
0.146000,0.169709
0.147000,0.142466
0.148000,0.172925
0.149000,0.141474
0.150000,0.115671
0.151000,0.094614
0.152000,0.040532
0.153000,0.045424
0.154000,0.025742
0.155000,-0.024876
0.156000,0.033377
0.157000,-0.026171
0.158000,-0.092455
0.159000,-0.051805
0.160000,-0.113917
0.161000,-0.072582
0.162000,-0.071269
0.163000,-0.138787
0.164000,-0.091721
0.165000,-0.113043
0.166000,-0.103966
0.167000,-0.073389
0.168000,-0.137870
0.169000,-0.151987
0.170000,-0.153694
0.171000,-0.148016
0.172000,-0.121431
0.173000,-0.103655
0.174000,-0.099721
0.175000,-0.076867
0.176000,-0.094658
0.177000,-0.044691
0.178000,-0.089548
0.179000,0.006446
0.180000,-0.050356
0.181000,-0.089393
0.182000,-0.091105
0.183000,-0.040706
0.184000,-0.059129
0.185000,-0.029426
0.186000,-0.036360
0.187000,-0.053844
0.188000,-0.079642
0.189000,-0.103805
0.190000,-0.077468
0.191000,-0.045714
0.192000,-0.073947
0.193000,-0.128328
0.194000,-0.097939
0.195000,-0.105298
0.196000,-0.158575
0.197000,-0.144045
0.198000,-0.164800
0.199000,-0.219902
0.200000,-0.194991
0.201000,-0.209913
0.202000,-0.216002
0.203000,-0.239216
0.204000,-0.334902
0.205000,-0.344674
0.206000,-0.324100
0.207000,-0.347008
0.208000,-0.369514
0.209000,-0.291420
0.210000,-0.411224
0.211000,-0.414777
0.212000,-0.439695
0.213000,-0.467072
0.214000,-0.513056
0.215000,-0.496371
0.216000,-0.556312
0.217000,-0.552568
0.218000,-0.570631
0.219000,-0.562430
0.220000,-0.502428
0.221000,-0.633012
0.222000,-0.559672
0.223000,-0.630063
0.224000,-0.595453
0.225000,-0.546486
0.226000,-0.573403
0.227000,-0.602250
0.228000,-0.584477
0.229000,-0.534367
0.230000,-0.567173
0.231000,-0.528195
0.232000,-0.521825
0.233000,-0.530486
0.234000,-0.433782
0.235000,-0.465841
0.236000,-0.532146
0.237000,-0.452289
0.238000,-0.464364
0.239000,-0.405880
0.240000,-0.442656
0.241000,-0.410400
0.242000,-0.380688
0.243000,-0.359693
0.244000,-0.412579
0.245000,-0.378705
0.246000,-0.376312
0.247000,-0.376436
0.248000,-0.300091
0.249000,-0.338617
0.250000,-0.387827
0.251000,-0.323230
0.252000,-0.289390
0.253000,-0.325862
0.254000,-0.407645
0.255000,-0.383197
0.256000,-0.338563
0.257000,-0.406896
0.258000,-0.382523
0.259000,-0.383718
0.260000,-0.446688
0.261000,-0.433239
0.262000,-0.541749
0.263000,-0.488614
0.264000,-0.478969
0.265000,-0.522292
0.266000,-0.449128
0.267000,-0.553842
0.268000,-0.536393
0.269000,-0.530766
0.270000,-0.502024
0.271000,-0.597830
0.272000,-0.528123
0.273000,-0.569611
0.274000,-0.604777
0.275000,-0.565291
0.276000,-0.575323
0.277000,-0.599688
0.278000,-0.578165
0.279000,-0.588553
0.280000,-0.568462
0.281000,-0.545022
0.282000,-0.508490
0.283000,-0.582598
0.284000,-0.469136
0.285000,-0.577702
0.286000,-0.508151
0.287000,-0.468964
0.288000,-0.459885
0.289000,-0.467524
0.290000,-0.434595
0.291000,-0.421791
0.292000,-0.402647
0.293000,-0.336933
0.294000,-0.328841
0.295000,-0.337327
0.296000,-0.266583
0.297000,-0.261611
0.298000,-0.224108
0.299000,-0.207848
0.300000,-0.230595
0.301000,-0.202419
0.302000,-0.144128
0.303000,-0.130345
0.304000,-0.132687
0.305000,-0.113338
0.306000,-0.064804
0.307000,-0.108703
0.308000,-0.063957
0.309000,-0.077472
0.310000,-0.070603
0.311000,-0.025396
0.312000,-0.029476
0.313000,-0.027254
0.314000,-0.011392
0.315000,-0.050216
0.316000,-0.031967
0.317000,-0.064488
0.318000,-0.049253
0.319000,-0.067583
0.320000,-0.066216
0.321000,-0.057305
0.322000,-0.106155
0.323000,-0.025525
0.324000,-0.125229
0.325000,-0.138108
0.326000,-0.073278
0.327000,-0.090140
0.328000,-0.100394
0.329000,-0.104692
0.330000,-0.127376
0.331000,-0.156292
0.332000,-0.128234
0.333000,-0.150608
0.334000,-0.099374
0.335000,-0.129838
0.336000,-0.145388
0.337000,-0.123808
0.338000,-0.093639
0.339000,-0.113106
0.340000,-0.109343
0.341000,-0.064191
0.342000,-0.049367
0.343000,-0.055595
0.344000,-0.036727
0.345000,0.003516
0.346000,-0.026493
0.347000,-0.003767
0.348000,0.039379
0.349000,0.077817
0.350000,0.117483
0.351000,0.176825
0.352000,0.182997
0.353000,0.177282
0.354000,0.206248
0.355000,0.201220
0.356000,0.254774
0.357000,0.270081
0.358000,0.311039
0.359000,0.298198
0.360000,0.359139
0.361000,0.408829
0.362000,0.377487
0.363000,0.409204
0.364000,0.432663
0.365000,0.413049
0.366000,0.443194
0.367000,0.446448
0.368000,0.456789
0.369000,0.436640
0.370000,0.464735
0.371000,0.481339
0.372000,0.510616
0.373000,0.494897
0.374000,0.528191
0.375000,0.436599
0.376000,0.480478
0.377000,0.453296
0.378000,0.505922
0.379000,0.407512
0.380000,0.397368
0.381000,0.394815
0.382000,0.338932
0.383000,0.376522
0.384000,0.359142
0.385000,0.376203
0.386000,0.372050
0.387000,0.408688
0.388000,0.372186
0.389000,0.318453
0.390000,0.301856
0.391000,0.337704
0.392000,0.278685
0.393000,0.369888
0.394000,0.348371
0.395000,0.298415
0.396000,0.262103
0.397000,0.356655
0.398000,0.316688
0.399000,0.362879
0.400000,0.285037
0.401000,0.437757
0.402000,0.580154
0.403000,0.706971
0.404000,0.818830
0.405000,0.978876
0.406000,1.056977
0.407000,1.214364
0.408000,1.238246
0.409000,1.152280
0.410000,1.060727
0.411000,0.908315
0.412000,0.798670
0.413000,0.785443
0.414000,0.659098
0.415000,0.528109
0.416000,0.612062
0.417000,0.583037
0.418000,0.627900
0.419000,0.606267
0.420000,0.676413
0.421000,0.676105
0.422000,0.623227
0.423000,0.665399
0.424000,0.659399
0.425000,0.683056
0.426000,0.613145
0.427000,0.660887
0.428000,0.668390
0.429000,0.578346
0.430000,0.588260
0.431000,0.553470
0.432000,0.595768
0.433000,0.612990
0.434000,0.622668
0.435000,0.564599
0.436000,0.594799
0.437000,0.487038
0.438000,0.458937
0.439000,0.489238
0.440000,0.482735
0.441000,0.450167
0.442000,0.368867
0.443000,0.407952
0.444000,0.351402
0.445000,0.390889
0.446000,0.362586
0.447000,0.304872
0.448000,0.299980
0.449000,0.266938
0.450000,0.281276
0.451000,0.297491
0.452000,0.226286
0.453000,0.259426
0.454000,0.218335
0.455000,0.201935
0.456000,0.215557
0.457000,0.182337
0.458000,0.192979
0.459000,0.171387
0.460000,0.265491
0.461000,0.208259
0.462000,0.188203
0.463000,0.218848
0.464000,0.213417
0.465000,0.215512
0.466000,0.246772
0.467000,0.257977
0.468000,0.226777
0.469000,0.233223
0.470000,0.250243
0.471000,0.197446
0.472000,0.228890
0.473000,0.322847
0.474000,0.338163
0.475000,0.287623
0.476000,0.317814
0.477000,0.314266
0.478000,0.400550
0.479000,0.343738
0.480000,0.306874
0.481000,0.281097
0.482000,0.259026
0.483000,0.309116
0.484000,0.274399
0.485000,0.246754
0.486000,0.260597
0.487000,0.236370
0.488000,0.306528
0.489000,0.267781
0.490000,0.224897
0.491000,0.251808
0.492000,0.190572
0.493000,0.141937
0.494000,0.191808
0.495000,0.139578
0.496000,0.068702
0.497000,0.069797
0.498000,0.024378
0.499000,-0.016068
0.500000,0.027785
0.501000,0.031867
0.502000,-0.092603
0.503000,-0.058618
0.504000,-0.119339
0.505000,-0.138024
0.506000,-0.163886
0.507000,-0.193695
0.508000,-0.186795
0.509000,-0.232338
0.510000,-0.217023
0.511000,-0.242839
0.512000,-0.263082
0.513000,-0.296043
0.514000,-0.297298
0.515000,-0.266760
0.516000,-0.282062
0.517000,-0.332339
0.518000,-0.304240
0.519000,-0.287222
0.520000,-0.360794
0.521000,-0.293850
0.522000,-0.328062
0.523000,-0.287810
0.524000,-0.323415
0.525000,-0.349240
0.526000,-0.337640
0.527000,-0.280398
0.528000,-0.266554
0.529000,-0.293633
0.530000,-0.239337
0.531000,-0.300344
0.532000,-0.244674
0.533000,-0.271582
0.534000,-0.247902
0.535000,-0.220719
0.536000,-0.242600
0.537000,-0.223965
0.538000,-0.179006
0.539000,-0.224508
0.540000,-0.181479
0.541000,-0.241214
0.542000,-0.193695
0.543000,-0.170147
0.544000,-0.292918
0.545000,-0.249628
0.546000,-0.216931
0.547000,-0.250396
0.548000,-0.244724
0.549000,-0.286956
0.550000,-0.280558
0.551000,-0.303385
0.552000,-0.280363
0.553000,-0.325436
0.554000,-0.341460
0.555000,-0.383155
0.556000,-0.405164
0.557000,-0.423602
0.558000,-0.419057
0.559000,-0.463777
0.560000,-0.462520
0.561000,-0.428642
0.562000,-0.483905
0.563000,-0.538222
0.564000,-0.509904
0.565000,-0.574619
0.566000,-0.638741
0.567000,-0.621706
0.568000,-0.659974
0.569000,-0.625192
0.570000,-0.623206
0.571000,-0.580815
0.572000,-0.626829
0.573000,-0.646879
0.574000,-0.617211
0.575000,-0.708331
0.576000,-0.632970
0.577000,-0.613126
0.578000,-0.675054
0.579000,-0.589132
0.580000,-0.604435
0.581000,-0.616700
0.582000,-0.573538
0.583000,-0.511446
0.584000,-0.560072
0.585000,-0.543117
0.586000,-0.548624
0.587000,-0.544036
0.588000,-0.476926
0.589000,-0.510594
0.590000,-0.465803
0.591000,-0.465462
0.592000,-0.420268
0.593000,-0.408625
0.594000,-0.372165
0.595000,-0.404062
0.596000,-0.383285
0.597000,-0.392067
0.598000,-0.364754
0.599000,-0.330133
0.600000,-0.310160
0.601000,-0.353409
0.602000,-0.294036
0.603000,-0.275369
0.604000,-0.301094
0.605000,-0.256186
0.606000,-0.336202
0.607000,-0.352284
0.608000,-0.371653
0.609000,-0.278065
0.610000,-0.309177
0.611000,-0.337428
0.612000,-0.335274
0.613000,-0.386168
0.614000,-0.288425
0.615000,-0.367815
0.616000,-0.378634
0.617000,-0.370522
0.618000,-0.388218
0.619000,-0.406081
0.620000,-0.446274
0.621000,-0.417617
0.622000,-0.383767
0.623000,-0.407433
0.624000,-0.406513
0.625000,-0.474956
0.626000,-0.493284
0.627000,-0.469892
0.628000,-0.465410
0.629000,-0.433574
0.630000,-0.514773
0.631000,-0.413944
0.632000,-0.458599
0.633000,-0.458877
0.634000,-0.466834
0.635000,-0.474731
0.636000,-0.387264
0.637000,-0.394953
0.638000,-0.419448
0.639000,-0.401699
0.640000,-0.353632
0.641000,-0.272944
0.642000,-0.309145
0.643000,-0.323835
0.644000,-0.262702
0.645000,-0.239477
0.646000,-0.287725
0.647000,-0.183709
0.648000,-0.164195
0.649000,-0.111678
0.650000,-0.052687
0.651000,-0.050424
0.652000,-0.068999
